公司名称,股票代码,板块,文件名,页码数,时间,文件大小(MB),文件路径,年份
泰凌微,688591,科创板,688591_泰凌微_2023-08-22.pdf,505,2023-08-22,7.06,/Users/chenyuang/Desktop/巨潮网资料/2023/688591_泰凌微_2023-08-22.pdf,2023
上海建科,603153,沪主板,603153_上海建科_2023-02-28.pdf,846,2023-02-28,8.89,/Users/chenyuang/Desktop/巨潮网资料/2023/603153_上海建科_2023-02-28.pdf,2023
碧兴物联,688671,科创板,688671_碧兴物联_2023-08-04.pdf,490,2023-08-04,6.53,/Users/chenyuang/Desktop/巨潮网资料/2023/688671_碧兴物联_2023-08-04.pdf,2023
新莱福,301323,创业板,301323_新莱福_2023-05-31.pdf,305,2023-05-31,8.19,/Users/chenyuang/Desktop/巨潮网资料/2023/301323_新莱福_2023-05-31.pdf,2023
坤泰股份,001260,深主板,001260_坤泰股份_2023-02-06.pdf,99,2023-02-06,2.42,/Users/chenyuang/Desktop/巨潮网资料/2023/001260_坤泰股份_2023-02-06.pdf,2023
中研股份,688716,科创板,688716_中研股份_2023-09-15.pdf,449,2023-09-15,5.97,/Users/chenyuang/Desktop/巨潮网资料/2023/688716_中研股份_2023-09-15.pdf,2023
普莱得,301353,创业板,301353_普莱得_2023-05-17.pdf,453,2023-05-17,6.59,/Users/chenyuang/Desktop/巨潮网资料/2023/301353_普莱得_2023-05-17.pdf,2023
多利科技,001311,深主板,001311_多利科技_2023-02-13.pdf,122,2023-02-13,3.27,/Users/chenyuang/Desktop/巨潮网资料/2023/001311_多利科技_2023-02-13.pdf,2023
广钢气体,688548,科创板,688548_广钢气体_2023-08-10.pdf,369,2023-08-10,5.0,/Users/chenyuang/Desktop/巨潮网资料/2023/688548_广钢气体_2023-08-10.pdf,2023
苏能股份,600925,沪主板,600925_苏能股份_2023-02-23.pdf,606,2023-02-23,6.77,/Users/chenyuang/Desktop/巨潮网资料/2023/600925_苏能股份_2023-02-23.pdf,2023
金帝股份,603270,沪主板,603270_金帝股份_2023-08-29.pdf,553,2023-08-29,6.58,/Users/chenyuang/Desktop/巨潮网资料/2023/603270_金帝股份_2023-08-29.pdf,2023
盛科通信,688702,科创板,688702_盛科通信_2023-09-08.pdf,436,2023-09-08,6.64,/Users/chenyuang/Desktop/巨潮网资料/2023/688702_盛科通信_2023-09-08.pdf,2023
陕西能源,001286,深主板,001286_陕西能源_2023-04-04.pdf,628,2023-04-04,7.37,/Users/chenyuang/Desktop/巨潮网资料/2023/001286_陕西能源_2023-04-04.pdf,2023
湖南裕能,301358,创业板,301358_湖南裕能_2023-02-03.pdf,433,2023-02-03,9.9,/Users/chenyuang/Desktop/巨潮网资料/2023/301358_湖南裕能_2023-02-03.pdf,2023
日联科技,688531,科创板,688531_日联科技_2023-03-28.pdf,442,2023-03-28,12.07,/Users/chenyuang/Desktop/巨潮网资料/2023/688531_日联科技_2023-03-28.pdf,2023
安邦护卫,603373,沪主板,603373_安邦护卫_2023-12-15.pdf,523,2023-12-15,5.93,/Users/chenyuang/Desktop/巨潮网资料/2023/603373_安邦护卫_2023-12-15.pdf,2023
热威股份,603075,沪主板,603075_热威股份_2023-09-05.pdf,354,2023-09-05,7.1,/Users/chenyuang/Desktop/巨潮网资料/2023/603075_热威股份_2023-09-05.pdf,2023
高华科技,688539,科创板,688539_高华科技_2023-04-13.pdf,338,2023-04-13,5.15,/Users/chenyuang/Desktop/巨潮网资料/2023/688539_高华科技_2023-04-13.pdf,2023
和泰机电,001225,深主板,001225_和泰机电_2023-02-06.pdf,100,2023-02-06,1.71,/Users/chenyuang/Desktop/巨潮网资料/2023/001225_和泰机电_2023-02-06.pdf,2023
阿莱德,301419,创业板,301419_阿莱德_2023-02-06.pdf,491,2023-02-06,13.8,/Users/chenyuang/Desktop/巨潮网资料/2023/301419_阿莱德_2023-02-06.pdf,2023
杭可科技,688006,科创板,688006_杭可科技_2023-02-17.pdf,1,2023-02-17,0.28,/Users/chenyuang/Desktop/巨潮网资料/2023/688006_杭可科技_2023-02-17.pdf,2023
敷尔佳,301371,创业板,301371_敷尔佳_2023-07-26.pdf,493,2023-07-26,13.15,/Users/chenyuang/Desktop/巨潮网资料/2023/301371_敷尔佳_2023-07-26.pdf,2023
崇德科技,301548,创业板,301548_崇德科技_2023-09-13.pdf,358,2023-09-13,9.58,/Users/chenyuang/Desktop/巨潮网资料/2023/301548_崇德科技_2023-09-13.pdf,2023
锴威特,688693,科创板,688693_锴威特_2023-08-14.pdf,406,2023-08-14,7.23,/Users/chenyuang/Desktop/巨潮网资料/2023/688693_锴威特_2023-08-14.pdf,2023
中润光学,688307,科创板,688307_中润光学_2023-02-10.pdf,518,2023-02-10,20.43,/Users/chenyuang/Desktop/巨潮网资料/2023/688307_中润光学_2023-02-10.pdf,2023
